grip,expected,observed
1,ok,ok
2,ok,ok
3,ok,ok
4,ok,ok
5,ok,ok
6,ok,ok
7,ok,ok
8,ok,ok
9,ok,ok
10,ok,ok
11,ok,ok
12,ok,ok
13,ok,ok
14,ok,ok
15,ok,ok
16,ok,ok
17,ok,ok
18,ok,ok
19,ok,ok
20,ok,ok
21,ok,ok
22,ok,ok
23,ok,ok
24,ok,ok
25,ok,ok
26,ok,ok
27,ok,ok
28,ok,ok
29,ok,ok
30,ok,ok
31,ok,ok
32,ok,ok
33,ok,ok
34,ok,ok
35,ok,ok
36,ok,ok
37,ok,ok
38,ok,ok
39,ok,ok
40,ok,ok
41,miss,miss
42,miss,miss
43,miss,miss
44,miss,miss
45,miss,miss
46,miss,miss
47,miss,miss
48,miss,miss
49,miss,miss
50,miss,miss
51,miss,miss
52,miss,miss
53,miss,miss
54,miss,miss
55,miss,miss
56,miss,miss
57,miss,miss
58,miss,miss
59,miss,miss
60,miss,miss
61,miss,miss
62,miss,miss
63,miss,miss
64,miss,miss
65,miss,miss
66,miss,miss
67,miss,miss
68,miss,miss
69,miss,miss
70,miss,miss
71,miss,miss
72,miss,miss
73,miss,miss
74,miss,miss
75,miss,miss
76,miss,miss
77,miss,miss
78,miss,miss
79,miss,miss
80,miss,miss
81,slip,slip
82,slip,slip
83,slip,slip
84,slip,slip
85,slip,slip
86,slip,slip
87,slip,slip
88,slip,slip
89,slip,slip
90,slip,slip
91,slip,slip
92,slip,slip
93,slip,slip
94,slip,slip
95,slip,slip
96,slip,slip
97,slip,slip
98,slip,slip
99,slip,slip
100,slip,slip
101,slip,slip
102,slip,slip
103,slip,slip
104,slip,slip
105,slip,slip
106,slip,slip
107,slip,slip
108,slip,slip
109,slip,slip
110,slip,slip
111,slip,slip
112,slip,slip
113,slip,slip
114,slip,slip
115,slip,slip
116,slip,slip
117,slip,slip
118,slip,slip
119,slip,slip
120,slip,slip
