sweep,set opening %,expected opening mm,actual opening mm,actual opening %
4,5,5.95,6.91,5.81
4,10,11.90,11.93,10.02
4,15,17.85,17.91,15.05
4,20,23.81,23.75,19.95
4,25,29.76,29.69,24.94
4,30,35.71,35.74,30.03
4,35,41.66,41.68,35.02
4,40,47.61,47.63,40.02
4,45,53.56,53.70,45.11
4,50,59.52,59.67,50.13
4,55,65.47,65.60,55.11
4,60,71.42,71.51,60.08
4,65,77.37,77.50,65.11
4,70,83.32,83.49,70.14
4,75,89.27,49.44,41.54
4,80,95.22,95.35,80.11
4,85,101.18,100.14,84.13
4,90,107.13,107.10,89.98
4,95,113.08,113.13,95.04
4,100,119.03,119.07,100.03
5,5,5.95,6.77,5.69
5,10,11.89,12.14,10.21
5,15,17.84,17.98,15.12
5,20,23.79,23.93,20.12
5,25,29.73,29.76,25.02
5,30,35.68,35.73,30.04
5,35,41.63,41.61,34.99
5,40,47.57,47.57,40.00
5,45,53.52,53.66,45.12
5,50,59.47,59.65,50.16
5,55,65.41,65.57,55.13
5,60,71.36,71.42,60.05
5,65,77.30,77.47,65.14
5,70,83.25,83.44,70.16
5,75,89.20,89.46,75.22
5,80,95.14,95.40,80.22
5,85,101.09,101.35,85.22
5,90,107.04,107.11,90.06
5,95,112.98,113.05,95.06
5,100,118.93,118.93,100.00
6,5,5.95,6.79,5.71
6,10,11.89,12.10,10.18
6,15,17.84,17.81,14.98
6,20,23.78,23.80,20.02
6,25,29.73,29.73,25.00
6,30,35.67,35.71,30.03
6,35,41.62,41.60,34.98
6,40,47.56,47.69,40.11
6,45,53.51,53.69,45.15
6,50,59.45,59.60,50.12
6,55,65.40,65.51,55.09
6,60,71.35,71.45,60.09
6,65,77.29,77.40,65.09
6,70,83.24,83.31,70.06
6,75,89.18,89.38,75.17
6,80,95.13,95.34,80.18
6,85,101.07,101.11,85.03
6,90,107.02,107.12,90.08
6,95,112.96,112.90,94.95
6,100,118.91,118.78,99.89
7,5,5.95,6.81,5.73
7,10,11.89,12.08,10.16
7,15,17.84,17.89,15.04
7,20,23.79,23.90,20.09
7,25,29.74,31.44,26.43
7,30,35.69,35.76,30.06
7,35,41.63,41.71,35.07
7,40,47.58,47.65,40.06
7,45,53.53,53.74,45.18
7,50,59.48,59.60,50.11
7,55,65.42,65.56,55.12
7,60,71.37,71.65,60.24
7,65,77.32,77.45,65.11
7,70,83.27,83.47,70.17
7,75,89.21,89.41,75.17
7,80,95.16,95.28,80.10
7,85,101.11,101.22,85.09
7,90,107.06,107.12,90.05
7,95,113.00,113.03,95.02
7,100,118.95,118.84,99.91
